Name,City,State,Type,Established,Latitude,Longitude
Museum of Indian Tribal Crafts,Imphal,Manipur,Crafts,1989,24.8170,93.9368
Museum of Indian Folk Music,Mysore,Karnataka,Cultural,1991,12.2958,76.6394
Museum of Indian Textile Arts,Kolkata,West Bengal,Textile,1990,22.5726,88.3639
Akanal Archaeological Museum,Bijapur,Karnataka,Archaeology,1987,15.8242,75.7150
Amar Mahal Museum and Library,Hyderabad,Telangana,History,1970,17.3850,78.4867
Anantapur Archaeological Museum,Anantapur,Andhra Pradesh,Archaeology,1985,14.6810,77.6000
Archaeological Museum,Tirupati,Andhra Pradesh,Archaeology,1990,13.6288,79.4192
Assam State Museum,Guwahati,Assam,History,1940,26.1445,91.7362
Bhim Betka Rock Shelters Museum,Bhopal,Madhya Pradesh,Archaeology,1957,22.9216,77.6088
Buddhist Museum,Vaishali,Bihar,Religious Art,1978,25.6850,85.2179
Cauvery Archaeological Museum,Thanjavur,Tamil Nadu,Archaeology,1975,10.7867,79.1375
Central Museum,Kolkata,West Bengal,General,1814,22.5726,88.3639
Chandigarh Museum of Folk Art,Chandigarh,Chandigarh,Folk Art,1992,30.7333,76.7794
Chennai Archaeological Museum,Chennai,Tamil Nadu,Archaeology,1985,13.0827,80.2707
Chhattisgarh State Museum,Raipur,Chhattisgarh,Art & Culture,1970,21.2514,81.6296
Coorg Museum,Madikeri,Karnataka,History,1980,12.4244,75.7382
Dibrugarh Museum,Dibrugarh,Assam,History,1988,27.4728,94.9116
Dr. Bhau Daji Lad Museum,Mumbai,Maharashtra,History,1855,18.9574,72.8236
East India Company Museum,Kolkata,West Bengal,History,1962,22.5726,88.3639
Folk Art Museum,Patna,Bihar,Folk Art,1995,25.5941,85.1376
Gandhi Museum,Ahmedabad,Gujarat,History,1963,23.0225,72.5714
Gwalior Fort Museum,Gwalior,Madhya Pradesh,History,1972,26.2183,78.1828
Hampi Archaeological Museum,Hampi,Karnataka,Archaeology,1983,15.3350,76.4600
Harishchandra Research Institute Museum,Varanasi,Uttar Pradesh,History,1990,25.3176,82.9739
Hazaribagh Museum,Hazaribagh,Jharkhand,History,1984,23.9880,85.3830
Himachal State Museum,Shimla,Himachal Pradesh,Cultural,1974,31.1048,77.1734
Hyderabad Museum,Hyderabad,Telangana,History,1985,17.3850,78.4867
Indian Air Force Museum,New Delhi,Delhi,Military,1975,28.6139,77.2090
Indian Museum,Kolkata,West Bengal,General/Natural History,1814,22.5726,88.3639
Indira Gandhi Museum,Hyderabad,Telangana,History,1993,17.3850,78.4867
International Dolls Museum,New Delhi,Delhi,Toys & Dolls,1965,28.6139,77.2090
Jaisalmer Fort Museum,Jaisalmer,Rajasthan,History,1980,26.9157,70.9080
Jammu Archaeological Museum,Jammu,Jammu & Kashmir,Archaeology,1987,32.7266,74.8570
Jodhpur Fort Museum,Jodhpur,Rajasthan,History,1984,26.2389,73.0243
Karnataka Government Museum,Mysore,Karnataka,Art & Culture,1889,12.2958,76.6394
Kerala Folklore Museum,Kozhikode,Kerala,Cultural,1989,11.2588,75.7804
Khandwa Museum,Khandwa,Madhya Pradesh,History,1992,21.8333,76.3500
Kochi Maritime Museum,Kochi,Kerala,Maritime,1985,9.9312,76.2673
Kolkata Port Museum,Kolkata,West Bengal,Maritime,1980,22.5726,88.3639
Lalbagh Botanical Garden Museum,Bangalore,Karnataka,Natural History,1990,12.9507,77.5848
Lucknow State Museum,Lucknow,Uttar Pradesh,History,1863,26.8467,80.9462
Madhya Pradesh Tribal Museum,Bhopal,Madhya Pradesh,Cultural,2007,23.2599,77.4126
Maharashtra State Museum,Mumbai,Maharashtra,Art & History,1920,18.9317,72.8330
Mangalore Maritime Museum,Mangalore,Karnataka,Maritime,1988,12.9141,74.8560
Manipur State Museum,Imphal,Manipur,Cultural,1969,24.8170,93.9368
Meghalaya State Museum,Shillong,Meghalaya,Cultural,1974,25.5788,91.8933
Mizoram State Museum,Aizawl,Mizoram,History,1977,23.7271,92.7176
Museum of Goa,Panjim,Goa,Contemporary Art,2015,15.4909,73.8278
Museum of Manipur Culture,Imphal,Manipur,Cultural,1974,24.8170,93.9368
Museum of Natural History,Chennai,Tamil Nadu,Natural History,1956,13.0827,80.2707
Museum of Tribal Art,Ahmedabad,Gujarat,Cultural,2001,23.0225,72.5714
Museum of Tribal Paintings,Raipur,Chhattisgarh,Cultural,1998,21.2514,81.6296
Nagaland State Museum,Kohima,Nagaland,Cultural,1970,25.6747,94.1102
National Gallery of Modern Art,New Delhi,Delhi,Modern Art,1954,28.6139,77.2090
National Handicrafts and Handlooms Museum,New Delhi,Delhi,Handicrafts,1976,28.6139,77.2090
National Rail Museum,New Delhi,Delhi,Transport,1977,28.6139,77.2090
Nathdwara Art Museum,Nathdwara,Rajasthan,Art,1991,24.9769,73.7216
Orissa State Museum,Bhubaneswar,Odisha,History,1932,20.2961,85.8245
Patna Museum,Patna,Bihar,History,1917,25.5941,85.1376
Punjab State Museum,Patiala,Punjab,Art & Culture,1967,30.3398,76.3869
Railway Heritage Museum,Mysore,Karnataka,Transport,1999,12.2958,76.6394
Rajasthan Oriental Research Institute,Jaipur,Rajasthan,Research,1918,26.9124,75.7873
Rajasthan State Archives Museum,Jaipur,Rajasthan,History,1967,26.9124,75.7873
Rashtrapati Bhavan Museum,New Delhi,Delhi,History,1995,28.6143,77.1996
Salar Jung Museum,Hyderabad,Telangana,Art & History,1951,17.3850,78.4867
Science City,Ahmedabad,Gujarat,Science,1999,23.0305,72.6167
Sikkim State Museum,Gangtok,Sikkim,History,1979,27.3314,88.6138
Smt. Hiraben Nanavati Museum,Ahmedabad,Gujarat,Art & Culture,1986,23.0225,72.5714
State Museum of Kerala,Thiruvananthapuram,Kerala,Art & History,1977,8.5241,76.9366
Surat Textile Museum,Surat,Gujarat,Textile,1994,21.1702,72.8311
Tamil Nadu Archaeology Museum,Chennai,Tamil Nadu,Archaeology,1916,13.0827,80.2707
Telangana State Museum,Hyderabad,Telangana,History,1930,17.3850,78.4867
Tripura State Museum,Agartala,Tripura,Cultural,1976,23.8315,91.2820
Uttar Pradesh State Museum,Lucknow,Uttar Pradesh,History,1963,26.8467,80.9462
Uttarakhand State Museum,Dehradun,Uttarakhand,Cultural,1976,30.3165,78.0322
Victoria Memorial,Kolkata,West Bengal,History,1921,22.5448,88.3426
West Bengal State Museum,Kolkata,West Bengal,History,1814,22.5726,88.3639
World War II Museum,Kochi,Kerala,Military,1999,9.9312,76.2673
Zoo Museum,Kolkata,West Bengal,Natural History,1960,22.5726,88.3639
Zonal Cultural Museum,Imphal,Manipur,Cultural,1985,24.8170,93.9368
Zonal Museum of Archaeology,Bhubaneswar,Odisha,Archaeology,1990,20.2961,85.8245
Zoological Survey of India Museum,Kolkata,West Bengal,Natural History,1916,22.5726,88.3639
Adilabad Museum,Adilabad,Telangana,History,1988,19.6610,78.5373
Aizawl Heritage Museum,Aizawl,Mizoram,Cultural,1992,23.7271,92.7176
Almora Museum,Almora,Uttarakhand,Cultural,1985,29.5978,79.6570
Ambedkar Memorial Museum,Hyderabad,Telangana,History,1990,17.3850,78.4867
Amravati Museum,Amravati,Maharashtra,History,1984,20.9320,77.7794
Andhra Pradesh State Archaeology Museum,Vijayawada,Andhra Pradesh,Archaeology,1960,16.5062,80.6480
Ankleshwar Museum,Ankleshwar,Gujarat,History,1995,21.6380,73.0215
Asansol Museum,Asansol,West Bengal,History,1978,23.6850,86.9753
Balasinor Fossil Park Museum,Balasinor,Gujarat,Paleontology,2001,22.4890,72.7831
Banda Museum,Banda,Uttar Pradesh,History,1989,25.4779,80.3280
Bardhaman Museum,Bardhaman,West Bengal,History,1974,23.2324,87.8616
Baripada Museum,Baripada,Odisha,Cultural,1982,21.9286,86.7102
Barwani Museum,Barwani,Madhya Pradesh,History,1991,21.8155,74.9040
Bastar Museum,Jagdalpur,Chhattisgarh,Cultural,1993,19.0748,82.0346
Beawar Museum,Beawar,Rajasthan,History,1980,25.1207,75.2321
Belgaum Museum,Belgaum,Karnataka,History,1994,15.8497,74.4977
Bengal Art Museum,Kolkata,West Bengal,Art,1987,22.5726,88.3639
Berhampur Museum,Berhampur,Odisha,Cultural,1988,19.3126,84.7941
Bhagalpur Museum,Bhagalpur,Bihar,History,1980,25.2435,86.9846
Bharat Kala Bhavan,Varanasi,Uttar Pradesh,Art & Culture,1920,25.3214,82.9879
Bhilwara Museum,Bhilwara,Rajasthan,History,1986,25.3556,74.6369
Bhopal Regional Museum,Bhopal,Madhya Pradesh,History,1995,23.2599,77.4126
Bhusawal Museum,Bhusawal,Maharashtra,History,1983,21.0450,75.7293
Bidar Fort Museum,Bidar,Karnataka,History,1977,17.9133,77.5301
Bilaspur Museum,Bilaspur,Chhattisgarh,Cultural,1984,22.0799,82.1391
Bikaner Fort Museum,Bikaner,Rajasthan,History,1980,28.0159,73.3119
Bilaspur Archaeological Museum,Bilaspur,Chhattisgarh,Archaeology,1988,22.0799,82.1391
Bokaro Steel Museum,Bokaro,Jharkhand,Industrial,1997,23.6693,86.1511
Bongaigaon Museum,Bongaigaon,Assam,History,1991,26.4735,90.5640
Burdwan Museum,Burdwan,West Bengal,History,1975,23.2324,87.8616
Chamba State Museum,Chamba,Himachal Pradesh,Cultural,1985,32.5518,76.1397
Chandrapur Museum,Chandrapur,Maharashtra,History,1990,19.9531,79.2950
Chitradurga Fort Museum,Chitradurga,Karnataka,History,1988,14.2308,76.4020
Cuttack Museum,Cuttack,Odisha,History,1982,20.4625,85.8828
Daman Museum,Daman,Daman & Diu,History,1989,20.3974,72.8326
Darjeeling Himalayan Railway Museum,Darjeeling,West Bengal,Transport,1995,27.0360,88.2627
Davanagere Museum,Davanagere,Karnataka,History,1992,14.4644,75.9218
Deoghar Museum,Deoghar,Jharkhand,Religious,1991,24.4869,86.6913
Dhar Museum,Dhar,Madhya Pradesh,History,1994,22.5958,75.2830
Dindigul Museum,Dindigul,Tamil Nadu,History,1987,10.3626,77.9704
Durgapur Museum,Durgapur,West Bengal,History,1983,23.5204,86.2319
East Khasi Hills Museum,Shillong,Meghalaya,Cultural,1988,25.5788,91.8933
Ernakulam Museum,Ernakulam,Kerala,History,1990,9.9816,76.2999
Etawah Museum,Etawah,Uttar Pradesh,History,1986,26.7872,79.0104
Faridabad Museum,Faridabad,Haryana,History,1992,28.4089,77.3178
Fatehpur Museum,Fatehpur,Uttar Pradesh,History,1990,25.9274,80.8138
Firozabad Museum,Firozabad,Uttar Pradesh,History,1984,27.1550,78.3958
Gadchiroli Museum,Gadchiroli,Maharashtra,Tribal Art,1993,20.0984,80.0074
Gaya Museum,Gaya,Bihar,History,1987,24.7955,85.0000
Gir National Park Museum,Junagadh,Gujarat,Wildlife,1995,21.5265,70.4582
Gonda Museum,Gonda,Uttar Pradesh,History,1988,27.1338,81.9165
Gopalganj Museum,Gopalganj,Bihar,History,1986,26.4739,84.4490
Gorakhpur Museum,Gorakhpur,Uttar Pradesh,History,1985,26.7614,83.3668
Guntur Museum,Guntur,Andhra Pradesh,History,1989,16.3067,80.4365
Haldwani Museum,Haldwani,Uttarakhand,Cultural,1991,29.2170,79.5124
Haridwar Museum,Haridwar,Uttarakhand,Religious,1990,29.9457,78.1642
Hazaribagh Museum,Hazaribagh,Jharkhand,History,1984,23.9960,85.3695
Hingoli Museum,Hingoli,Maharashtra,History,1992,19.7197,77.1631
Hospet Museum,Hospet,Karnataka,Archaeology,1990,15.2694,76.3750
Howrah Museum,Howrah,West Bengal,History,1987,22.5958,88.2636
Ichalkaranji Textile Museum,Ichalkaranji,Maharashtra,Textile,1995,16.6880,74.4650
Imphal Museum,Imphal,Manipur,Cultural,1982,24.8170,93.9368
Indore Museum,Indore,Madhya Pradesh,History,1988,22.7196,75.8577
Itanagar State Museum,Itanagar,Arunachal Pradesh,Cultural,1976,27.0844,93.6053
Jabalpur Museum,Jabalpur,Madhya Pradesh,History,1989,23.1815,79.9864
Jagdalpur Museum,Jagdalpur,Chhattisgarh,Cultural,1990,19.0748,82.0346
Jaipur City Museum,Jaipur,Rajasthan,History,1993,26.9124,75.7873
Jalandhar Museum,Jalandhar,Punjab,History,1985,31.3260,75.5762
Jammu Fort Museum,Jammu,Jammu & Kashmir,History,1988,32.7266,74.8570
Jamnagar Museum,Jamnagar,Gujarat,History,1986,22.4707,70.0577
Jamshedpur Museum,Jamshedpur,Jharkhand,Industrial,1989,22.8046,86.2029
Jhansi Fort Museum,Jhansi,UP,History,1991,25.4489,78.5684
Jodhpur Museum,Jodhpur,Rajasthan,History,1983,26.2389,73.0243
Kalahandi Museum,Bhawanipatna,Odisha,Cultural,1987,20.2479,83.1698
Kalimpong Museum,Kalimpong,West Bengal,Cultural,1990,27.0613,88.4702
Kannur Museum,Kannur,Kerala,History,1984,11.8745,75.3704
Kanyakumari Museum,Kanyakumari,Tamil Nadu,History,1986,8.0883,77.5385
Kapurthala Museum,Kapurthala,Punjab,History,1988,31.3793,75.3855
Karaikal Museum,Karaikal,Puducherry,History,1990,10.9251,79.8382
Karimnagar Museum,Karimnagar,Telangana,History,1989,18.4386,79.1288
Karur Museum,Karur,Tamil Nadu,History,1987,10.9479,78.0804
Katihar Museum,Katihar,Bihar,History,1985,25.5331,87.5744
Kendujhar Museum,Kendujhar,Odisha,Cultural,1991,21.6399,85.5753
Khandwa Museum,Khandwa,MP,History,1992,21.8333,76.3500
Khargone Museum,Khargone,MP,History,1993,21.8110,75.6105
Kochi Museum,Kochi,Kerala,History,1986,9.9312,76.2673
Kolhapur Museum,Kolhapur,Maharashtra,History,1990,16.7050,74.2410
Kollam Museum,Kollam,Kerala,History,1988,8.8932,76.6141
Koraput Museum,Koraput,Odisha,Cultural,1985,18.8276,82.7162
Kotdwara Museum,Kotdwara,Uttrakhand,History,1987,29.7854,78.6493
Kozhikode Museum,Kozhikode,Kerala,History,1989,11.2588,75.7804
Kurnool Museum,Kurnool,AP,History,1991,15.8281,78.0373
Lakhimpur Museum,Lakhimpur,Assam,History,1987,27.2360,94.1147
Lalit Kala Akademi Museum,New Delhi,Delhi,Art,1954,28.6139,77.2090
Ludhiana Museum,Ludhiana,Punjab,History,1986,30.9010,75.8573
Madurai Museum,Madurai,Tamil Nadu,History,1988,9.9312,78.1232
Mahasamund Museum,Mahasamund,Chhattisgarh,Cultural,1989,21.0990,82.1059
Malda Museum,Malda,West Bengal,History,1987,25.0160,88.1519
Mandi Museum,Mandi,Himachal Pradesh,Cultural,1986,31.7036,76.9161
Mandsaur Museum,Mandsaur,Madhya Pradesh,History,1988,24.0731,75.0461
Mathura Museum,Mathura,Uttar Pradesh,History,1985,27.4924,77.6737
Meerut Museum,Meerut,Uttar Pradesh,History,1990,28.9845,77.7064
Midnapore Museum,Midnapore,West Bengal,History,1988,22.4308,87.3132
Mirzapur Museum,Mirzapur,Uttar Pradesh,History,1986,25.1447,82.5670
Moradabad Museum,Moradabad,Uttar Pradesh,History,1989,28.8386,78.7730
Muzaffarpur Museum,Muzaffarpur,Bihar,History,1987,26.1204,85.3647
Mysore Palace Museum,Mysore,Karnataka,Art & Culture,1912,12.3051,76.6551
Nainital Museum,Nainital,Uttarakhand,Cultural,1985,29.3919,79.4542
Nanded Museum,Nanded,Maharashtra,History,1987,19.1527,77.3279
Nashik Museum,Nashik,Maharashtra,History,1988,19.9975,73.7898
Nellore Museum,Nellore,Andhra Pradesh,History,1986,14.4426,79.9865
New Delhi Railway Museum,New Delhi,Delhi,Transport,1977,28.6270,77.2195
Nilgiri Museum,Ooty,Tamil Nadu,Cultural,1984,11.4064,76.6932
Orai Museum,Orai,Uttar Pradesh,History,1989,25.9904,79.4510
Osmanabad Museum,Osmanabad,Maharashtra,History,1985,18.1810,76.0380
Palakkad Museum,Palakkad,Kerala,History,1987,10.7867,76.6548
Pali Museum,Pali,Rajasthan,History,1990,25.7797,73.3233
Panaji Museum,Panaji,Goa,Cultural,1988,15.4909,73.8278
Panchkula Museum,Panchkula,Haryana,History,1992,30.7046,76.8526
Patan Museum,Patan,Gujarat,History,1987,23.8500,72.1308
Pilibhit Museum,Pilibhit,Uttar Pradesh,History,1986,28.6339,79.8058
Pune Museum,Pune,Maharashtra,History,1989,18.5204,73.8567
Raigarh Museum,Raigarh,Chhattisgarh,Cultural,1985,21.9030,83.4074
Raipur Museum,Raipur,Chhattisgarh,History,1988,21.2514,81.6296
Rajahmundry Museum,Rajahmundry,Andhra Pradesh,History,1989,17.0057,81.7777
Rajkot Museum,Rajkot,Gujarat,History,1986,22.3039,70.8022
Rajnandgaon Museum,Rajnandgaon,Chhattisgarh,Cultural,1984,21.0986,81.0214
Rangpur Museum,Rangpur,West Bengal,History,1985,24.4587,88.6366
Raurkela Museum,Raurkela,Odisha,Industrial,1990,22.2494,84.8592
Rewa Museum,Rewa,Madhya Pradesh,History,1987,24.5367,81.2937
Rohtak Museum,Rohtak,Haryana,History,1989,28.8955,76.6066
Sagar Museum,Sagar,Madhya Pradesh,History,1986,23.8388,78.7378
Saharanpur Museum,Saharanpur,Uttar Pradesh,History,1985,29.9640,77.5510
Salem Museum,Salem,Tamil Nadu,History,1988,11.6643,78.1460
Sambalpur Museum,Sambalpur,Odisha,History,1989,21.4677,83.9707
Sangli Museum,Sangli,Maharashtra,History,1987,16.8619,74.5648
Satara Museum,Satara,Maharashtra,History,1986,17.6883,73.9954
Seoni Museum,Seoni,Madhya Pradesh,History,1985,22.0881,79.5270
Shimla State Museum,Shimla,Himachal Pradesh,Cultural,1974,31.1048,77.1734
Sikar Museum,Sikar,Rajasthan,History,1987,27.6094,75.1395
Silchar Museum,Silchar,Assam,History,1989,24.8333,92.7780
Siliguri Museum,Siliguri,West Bengal,History,1986,26.7206,88.3883
Singrauli Museum,Singrauli,Madhya Pradesh,History,1985,24.2024,82.6739
Solapur Museum,Solapur,Maharashtra,History,1987,17.6599,75.9064
Sonipat Museum,Sonipat,Haryana,History,1988,28.9935,77.0192
Srinagar Museum,Srinagar,Jammu & Kashmir,History,1986,34.0837,74.7973
Surat Museum,Surat,Gujarat,History,1985,21.1702,72.8311
Tezpur Museum,Tezpur,Assam,History,1989,26.6370,92.7921
Thanjavur Archaeological Museum,Thanjavur,Tamil Nadu,Archaeology,1975,10.7882,79.1373
Thiruvananthapuram Museum,Thiruvananthapuram,Kerala,History,1988,8.5241,76.9366
Thrissur Museum,Thrissur,Kerala,History,1986,10.5276,76.2144
Tiruchirappalli Museum,Tiruchirappalli,Tamil Nadu,History,1985,10.7905,78.7047
Tirunelveli Museum,Tirunelveli,Tamil Nadu,History,1987,8.7280,77.6857
Tumkur Museum,Tumkur,Karnataka,History,1989,13.3422,77.1017
Udupi Museum,Udupi,Karnataka,History,1988,13.3409,74.7421
Una Museum,Una,Himachal Pradesh,Cultural,1986,31.4735,76.2691
Vadodara Museum,Vadodara,Gujarat,History,1985,22.3072,73.1812
Varanasi Museum,Varanasi,Uttar Pradesh,History,1989,25.3176,82.9739
Vellore Museum,Vellore,Tamil Nadu,History,1987,12.9165,79.1325
Vidisha Museum,Vidisha,Madhya Pradesh,History,1986,23.5256,77.7973
Virudhunagar Museum,Virudhunagar,Tamil Nadu,History,1985,9.5880,77.9702
Warangal Museum,Warangal,Telangana,History,1988,17.9787,79.5941
Yadgir Museum,Yadgir,Karnataka,History,1986,16.7745,77.1354
Acharya Jagadish Chandra Bose Indian Botanical Museum,Kolkata,West Bengal,Natural History,1897,22.5726,88.3639
Aizawl Museum,Aizawl,Mizoram,Cultural,1991,23.7271,92.7176
Alappuzha Maritime Museum,Alappuzha,Kerala,Maritime,1987,9.4981,76.3388
Aligarh Museum,Aligarh,Uttar Pradesh,History,1985,27.8974,78.0880
Ambedkar Memorial,Indore,Madhya Pradesh,History,1990,22.7196,75.8577
Amravati Archaeological Museum,Amravati,Maharashtra,Archaeology,1984,20.9333,77.7500
Anantapur District Museum,Anantapur,Andhra Pradesh,History,1993,14.6810,77.6000
Archaeological Museum,Raipur,Chhattisgarh,Archaeology,1988,21.2514,81.6296
Assam State Museum,Guwahati,Assam,History,1940,26.1445,91.7362
Balangir Museum,Balangir,Odisha,Cultural,1985,20.7066,83.4944
Barmer Museum,Barmer,Rajasthan,History,1987,25.7570,71.3897
Begusarai Museum,Begusarai,Bihar,History,1989,25.4173,86.1270
Bengal Museum of Industrial Archaeology,Kolkata,West Bengal,Industrial,1995,22.5726,88.3639
Bhadrak Museum,Bhadrak,Odisha,History,1987,21.0640,86.5664
Bhagalpur Museum,Bhagalpur,Bihar,History,1986,25.2435,86.9846
Bhandara Museum,Bhandara,Maharashtra,History,1985,21.1651,79.6522
Bhilai Steel Plant Museum,Bhilai,Chhattisgarh,Industrial,1989,21.2167,81.4333
Bikaner Fort Museum,Bikaner,Rajasthan,History,1983,28.0159,73.3119
Bilaspur Tribal Museum,Bilaspur,Chhattisgarh,Cultural,1990,22.0799,82.1391
Bokaro Steel Museum,Bokaro,Jharkhand,Industrial,1997,23.6693,86.1511
Brahmapur Museum,Brahmapur,Odisha,History,1988,19.3140,84.7940
Chamba State Museum,Chamba,Himachal Pradesh,Cultural,1985,32.5518,76.1397
Chandrapur District Museum,Chandrapur,Maharashtra,History,1990,19.9531,79.2950
Chennai Museum,Chennai,Tamil Nadu,General,1851,13.0827,80.2707
Chhattisgarh State Museum,Raipur,Chhattisgarh,Cultural,1970,21.2514,81.6296
Coimbatore Museum,Coimbatore,Tamil Nadu,History,1987,11.0168,76.9558
Cuttack Museum,Cuttack,Odisha,History,1982,20.4625,85.8828
Darjeeling Himalayan Railway Museum,Darjeeling,West Bengal,Transport,1995,27.0360,88.2627
Davanagere Museum,Davanagere,Karnataka,History,1992,14.4644,75.9218
Dehradun Fossil Museum,Dehradun,Uttarakhand,Paleontology,1986,30.3165,78.0322
Dhanbad Museum,Dhanbad,Jharkhand,History,1987,23.7957,86.4304
Dhar Museum,Dhar,Madhya Pradesh,History,1994,22.5958,75.2830
Dindigul Museum,Dindigul,Tamil Nadu,History,1987,10.3626,77.9704
East Khasi Hills Museum,Shillong,Meghalaya,Cultural,1988,25.5788,91.8933
Ernakulam Museum,Ernakulam,Kerala,History,1990,9.9816,76.2999
Fatehpur Museum,Fatehpur,Uttar Pradesh,History,1990,25.9274,80.8138
Gandhinagar Science Museum,Gandhinagar,Gujarat,Science,1998,23.2156,72.6369
Gaya Museum,Gaya,Bihar,History,1987,24.7955,85.0000
Gir National Park Museum,Junagadh,Gujarat,Wildlife,1995,21.5265,70.4582
Gonda Museum,Gonda,Uttar Pradesh,History,1988,27.1338,81.9165
Gorakhpur Museum,Gorakhpur,Uttar Pradesh,History,1985,26.7614,83.3668
Guntur Museum,Guntur,Andhra Pradesh,History,1989,16.3067,80.4365
Haldwani Museum,Haldwani,Uttarakhand,Cultural,1991,29.2170,79.5124
Haridwar Museum,Haridwar,Uttarakhand,Religious,1990,29.9457,78.1642
Hazaribagh Museum,Hazaribagh,Jharkhand,History,1984,23.9960,85.3695
Hingoli Museum,Hingoli,Maharashtra,History,1992,19.7197,77.1631
Hospet Museum,Hospet,Karnataka,Archaeology,1990,15.2694,76.3750
Howrah Museum,Howrah,West Bengal,History,1987,22.5958,88.2636
Ichalkaranji Textile Museum,Ichalkaranji,Maharashtra,Textile,1995,16.6880,74.4650
Imphal Museum,Imphal,Manipur,Cultural,1982,24.8170,93.9368
Indore Museum,Indore,Madhya Pradesh,History,1988,22.7196,75.8577
Itanagar State Museum,Itanagar,Arunachal Pradesh,Cultural,1976,27.0844,93.6053
Jabalpur Museum,Jabalpur,Madhya Pradesh,History,1989,23.1815,79.9864
Jagdalpur Museum,Jagdalpur,Chhattisgarh,Cultural,1990,19.0748,82.0346
Jaipur City Museum,Jaipur,Rajasthan,History,1993,26.9124,75.7873
Jalandhar Museum,Jalandhar,Punjab,History,1985,31.3260,75.5762
Jammu Fort Museum,Jammu,Jammu & Kashmir,History,1988,32.7266,74.8570
Jamnagar Museum,Jamnagar,Gujarat,History,1986,22.4707,70.0577
Jamshedpur Museum,Jamshedpur,Jharkhand,Industrial,1989,22.8046,86.2029
Jhansi Fort Museum,Jhansi,Uttar Pradesh,History,1991,25.4489,78.5684
Jodhpur Museum,Jodhpur,Rajasthan,History,1983,26.2389,73.0243
Kalahandi Museum,Bhawanipatna,Odisha,Cultural,1987,20.2479,83.1698
Kalimpong Museum,Kalimpong,West Bengal,Cultural,1990,27.0613,88.4702
Kannur Museum,Kannur,Kerala,History,1984,11.8745,75.3704
Kanyakumari Museum,Kanyakumari,Tamil Nadu,History,1986,8.0883,77.5385
Kapurthala Museum,Kapurthala,Punjab,History,1988,31.3793,75.3855
Karaikal Museum,Karaikal,Puducherry,History,1990,10.9251,79.8382
Karimnagar Museum,Karimnagar,Telangana,History,1989,18.4386,79.1288
Karur Museum,Karur,Tamil Nadu,History,1987,10.9479,78.0804
Katihar Museum,Katihar,Bihar,History,1985,25.5331,87.5744
Kendujhar Museum,Kendujhar,Odisha,Cultural,1991,21.6399,85.5753
Khandwa Museum,Khandwa,Madhya Pradesh,History,1992,21.8333,76.3500
Khargone Museum,Khargone,Madhya Pradesh,History,1993,21.8110,75.6105
Kochi Museum,Kochi,Kerala,History,1986,9.9312,76.2673
Kolhapur Museum,Kolhapur,Maharashtra,History,1990,16.7050,74.2410
Kollam Museum,Kollam,Kerala,History,1988,8.8932,76.6141
Koraput Museum,Koraput,Odisha,Cultural,1985,18.8276,82.7162
Kotdwara Museum,Kotdwara,Uttarakhand,History,1987,29.7854,78.6493
Kozhikode Museum,Kozhikode,Kerala,History,1989,11.2588,75.7804
Kurnool Museum,Kurnool,Andhra Pradesh,History,1991,15.8281,78.0373
Lakhimpur Museum,Lakhimpur,Assam,History,1987,27.2360,94.1147
Lalit Kala Akademi Museum,New Delhi,Delhi,Art,1954,28.6139,77.2090
Ludhiana Museum,Ludhiana,Punjab,History,1986,30.9010,75.8573
Madurai Museum,Madurai,Tamil Nadu,History,1988,9.9312,78.1232
Mahasamund Museum,Mahasamund,Chhattisgarh,Cultural,1989,21.0990,82.1059
Malda Museum,Malda,West Bengal,History,1987,25.0160,88.1519
Mandi Museum,Mandi,Himachal Pradesh,Cultural,1986,31.7036,76.9161
Mandsaur Museum,Mandsaur,Madhya Pradesh,History,1988,24.0731,75.0461
Mathura Museum,Mathura,Uttar Pradesh,History,1985,27.4924,77.6737
Meerut Museum,Meerut,Uttar Pradesh,History,1990,28.9845,77.7064
Midnapore Museum,Midnapore,West Bengal,History,1988,22.4308,87.3132
Mirzapur Museum,Mirzapur,Uttar Pradesh,History,1986,25.1447,82.5670
Moradabad Museum,Moradabad,Uttar Pradesh,History,1989,28.8386,78.7730
Muzaffarpur Museum,Muzaffarpur,Bihar,History,1987,26.1204,85.3647
Mysore Palace Museum,Mysore,Karnataka,Art & Culture,1912,12.3051,76.6551
Nainital Museum,Nainital,Uttarakhand,Cultural,1985,29.3919,79.4542
Nanded Museum,Nanded,Maharashtra,History,1987,19.1527,77.3279
Nashik Museum,Nashik,Maharashtra,History,1988,19.9975,73.7898
Nellore Museum,Nellore,Andhra Pradesh,History,1986,14.4426,79.9865
New Delhi Railway Museum,New Delhi,Delhi,Transport,1977,28.6270,77.2195
Nilgiri Museum,Ooty,Tamil Nadu,Cultural,1984,11.4064,76.6932
Orai Museum,Orai,Uttar Pradesh,History,1989,25.9904,79.4510
Osmanabad Museum,Osmanabad,Maharashtra,History,1985,18.1810,76.0380
Palakkad Museum,Palakkad,Kerala,History,1987,10.7867,76.6548
Pali Museum,Pali,Rajasthan,History,1990,25.7797,73.3233
Panaji Museum,Panaji,Goa,Cultural,1988,15.4909,73.8278
Panchkula Museum,Panchkula,Haryana,History,1992,30.7046,76.8526
Patan Museum,Patan,Gujarat,History,1987,23.8500,72.1308
